rating,review
1,"i experienced complete clearing of the vaginosis after the regimin was completed. i did get a mild yeast infection during treatment. i took the antibiotic as prescribed every day, twice a day, one pill each time. my bacterial vaginosis cleared up after treatment. however, i did have a slight yeast infection that went away with an otc treatment."
1,"smoother more gradual onset and effect than adderall. effective at controlling add symptoms previously controlled by adderall however this drug seems more natural and transparent. less tension and anxiety. less ""druggy"" unnatural feelings and thoughts. dexerine ir tablets need to be taken more often than adderall and also wear off more abruptly. generic tablets are not high quality and somewhat expensive due to the need for a large quantity of tablets. switched from adderall to dexedrine to compare the effects. dexedrine is simply dextroamphetamine while adderall is a mixture of amphetamine salts. this might explain the increased effectiveness of the dexedrine contrary to popular belief. i found it important to take several relatively low doses frequently to achieve a balanced effect."
1,"i found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles. my sides effects were not noticeable and very mild.  i have noticed some lower libido while on fluoxetine, but no other noticeable side effects. this was prescribes to me for treatment for depression, seasonable disorder and hormonal irritability.   i have gone off this medication while pregnant, but have resumed to help ease depression issues."
1,"for the first time in my life i had enough lashes to apply mascara to.  i had tried eyelash extensions which only broke off or pulled out what few thin lashes i did have.  strip lashes were itchy and uncomfortable.  i now have normal lashes.
even though i only applied it to upper lashes the lower lashes have grown longer and thicker too. my upper eyelids were red and itchy for the first - weeks but that went away and i have not had a problem since.  my eye exams have been normal with eye preassure normal. for the first - weeks i used one drop every night applied to upper lash base with a small disposable brush.  after my lashes had grown in i started using it every - nights instead of every night and the lashes have stayed longer and thicker than prior to treating them."
0,"aldara did seem to crust up my previous skin cancer area and help minimize my scar from mohs surgery for skin cancer. due to the side effects i could only tolerate for one week opposed to  week regiman. i felt an out of it feeling, like a depressed feeling, i was fatigued and i broke out with severe blisters on and around my lips. i used / of a packet(% cream) on just my nose every other night and on alternating nights i put on an entire packet on my entire face."
1,"reduction in anxiety, no panic attacks.  drug is extremely effective no side effects while on drug.  super bad side effects while going off the drug.  google searched it.  lots of people with the same symptoms.  read up before you start it. took medication for  to  years.  very hard to get off this drug.  i liked the way my anxiety was controlled, but it also inhibits all emotional response (at least in my case).  i didn't have any mood, emotion, nothing.  it gave me a very flat affect.  also my doctor did not seem very informed toward drug side effects and withdrawl symptomologies."
0,"i'm taking gabapentin to treat nerve disorder. my nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. the gabapentin sometimes works but i do experience relapse.

for the migraines
i find that the mg of ibprofen works better with no side effect for my migraines, but the maxalt has a better track record. i have no side effect while taking gabapentin but if i miss a couple of dosages or run out and wait for my next refill, i have moderate withdrawal syptoms. these syptoms include itchness, irrability, moodness, axiousness, and headaches.

maxalt side effect for  me is throat feels contristricted shortly after taking medicine. i take mg of gabapentin three times day. it seems to be effective but i feel i need a hire dosage as the longer i take it the more i experience relapses.i first started out with mg three times a day but it was ineffective."
0,"don't know yet back to pediatrician today my one year old daughter who has an awesome disposition (and always has) became restless and agitated. very touchy, aggressive, crying a lot, and having a hard time sleeping. also refluxing a lot and not nursing normally. it just dawned on me this morning it must be the medication. will request another antibiotic today from the pediatrician. thanks"
1,"very good at relieving anxiety.  good at generally calming me down and 'leveling me out' to make functioning easier.  helps a little to relax muscle tension.  calming effect makes an excellent sleep aid. fatigue can sometimes be excessive.  high dependency. used for general anxiety and as an adjunct for depression and chronic pain.  very good at alleviating any anxiety and jittery feelings.  'levels out' my mood but doesn't cause euphoria; i have no desire to take more than i need.  however i am very dependent on it; if i stop taking it for a couple of days i have bad nervousness and jitteryness, tachycardia, sweating, and other anxiety symptoms.  if i wanted to discontinue i would have to do _very_ slowly, but this is the nature of long-term benzodiazepine treatment."
0,"controlled the psoriasis, however did not reduce its presence. a ""halo"" a few shades lighter than the natural skin tone was present around the site of application, which would last about - hours. i found this time-consuming to apply - times daily.  also, due to the ""halo"" effect, it was a little precarious to apply as well."
1,"cure the ezcema and it took aout teh roughest of the skin skin redness and flushes, sometimes the skin eels like it is on fire, and you feel very ho.
it is also very itchy when the skin is heeling because of the drug, sometimes you even wake up in the middle of the night because of the itchiness. but this only happens the first few days, when the skins is very bad with ezcema, after a few days, when the skin is better you don't feel you have put any treatment in the skin, and it feels as any othe normal moisturiser cream to apply once a day afeter cleaning the skin, and avoid direct sunlight"
1,reduction of panic attacks and depression to almost nil nausea for first two weeks then no perceived ill effects started on a low dose (mg) and built up to mg over  months which was reduced to mg per day after six months. this dose continues today. a six month treatment break resulted in a return of the symptoms so treatment was resumed at mg up to mg after one month.
1,"i took isotretinoin for persistent adult acne.  my skin was not by any means awful, but i did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  the drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  my once horribly oily skin changed to almost normal. first, let me say that i didn't experience the awful side effects that some do with isotretinoin use.  i did turn very, very red around the perioral area and especially at the nasolabial folds.  my face felt as if i needed to peel it off and scratch deep down in the dermis.  in fact, that was my main complaint--the itchiness . . . and of course the dryness.  but the dryness was not nearly as bad as i expected.  for example, my lips never cracked.  however, i'm several years out from treatment , and i still have dry skin problems.  it's weird because my skin was always so oily and now it's dry.  but that could be attributed to normal aging.  regardless, i've become a real connosiour of facial moisturizers.  my skin is also a little more sensitive post isotretinoin.  tazorac one percent, which i used to slather on nightly like lotion, now sets me on fire if i dare to use the half percent version more than twice a week.  i know the literature claims there's no anti-aging efficacy if it isn't used daily, but i'm hoping for the best. i have to confess that i'm confused by this section.  there were no real ""details"" associated with my treatment aside from what i've alreay described."
1,"the treatment benefits included skin regeneration, and decreased acne.  my skin felt more smooth and the pigmentation was disapearing.  overall, the goals were accomplished however the redness of the skin took over. the side effects of the treatment included redness, dryness, skin irritation.  the skin was very dry and difficult to moisturize.  the skin looked red and irritated.   however, when i switched to a lighter skin cleanser, cetaphil, this really helped improve the redness and dryness.  prior to the cetaphil i was using roc cleansing pads which were too harsh on my skin. my routine included daily use of micro retin a pump.  i applied the retin a micro pump to my entire face at night after washing my face.  i used a moisturizer and sun screen in the morning."
1,fits settled down to maybe  a fortnight which were daily before this medication has gained quite abit of weight but as he has had problems gaining weight since being a toddler this isnt a bad thing givn by specialist after previous medicine epilim caused serious side effects still messing with dosage in the hope of getting his fits down to  but so far a vast improvement in seizures
0,"reduce number of ms relapses flu like symptoms- aches, fever subcutaneous injection x weekly"
1,"i had taken pulmicort, and other inhalants, with no major changes.  it became more difficult to maintain my exercise and lively life style. i gave in and began symbicort and immediately experienced a relief of shortness of breath, weezing.  i feel like a new person. i still have a reaction to cold wind, and very high humidity, but so much better.  i rarely use my albuterol. none i take one puff in the am, rinse my mouth and gargle.  i repeat the treatment in the evening before bed."
1,"i'm feeling more grounded; highs and lows are less extreme.  you could say that my emotional 'playing field' is more level. there's one 'side effect' - and i'm purposely and playfully/sarcastically placing it within quotes:  this stuff has increased my sex-drive manyfold! i don't know if this has been the case with other patients, and i'm curious to know if anyone else has had that experience.
i'm also presenting with a little 'feathery tickle', resulting in an annoying dry cough; perhaps this side effect will lessen as my body adapts to the medication. my doctor started me on a minimal dose ( mg) of lamotrigine, and this will be prior to starting interferon/ribavarin treatment for the hep-c i've got.  (an antidepressant may be added in the near future as well.) lamotrigine was prescribed to put me in a calmer state of mind, specifically because of the high anxiety effect i receive from antidepressants, which resulted in  visits to an emergency room - as well as a one month hospital stay due to extreme anxiety and paranoia.
so far/so good is this layman's analysis."
0,"it seemed to work at first, but then the side effects started. fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). the hard part is i can't seem to get off this stuff!! the withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. it scares me so much that i just start taking it again. i'm stuck!! don't ever start this stuff, there is something wrong with it. i don't know if i will ever be myself again. see above lyrica mg twice a day"
1,decrease in acne pustules photosensitivity take medication twice a day in combination with good skin care
1,"alert, awake, focused dry mouth, decreased appetite i have only been on vyvanse for  weeks.  i started at  mg. and now at  mg. until next week where i will probably be upped to  mg.  i used to take focalin and then found out i was bipolar so had to stop that for close to a year to become stable on lithium.  i feel alert, awake and focused and feel vyvanse is very smooth and lasts longer.  hope i get the weight loss benefits eventually."
1,"my  bone density's results have always been stable and i was told to continue with the drug. leg cramps during the night. eight years ago i started with fosamax for - years and then took actonel.
in march, i decided not to take actonel any longer.   i had been on it for too long and was fearful of esophageal cancer and bone breakage.  now my doctor wants me to take the prolia injections, which i am not going to do. i am not going to continue with any drugs.   my bone density recently done was in the minuses.  i do work with a personal trainer and execise daily.  i am searching for alternative ways to deal with this problem."
1,"i was more alert during the first part of the day but i found that it wore off by the afternoon. i could focus clearly, and if i needed a boost during the day another dose was enough. it may cause some nervousness or restlessness. sometimes i felt like i had drank a large cup of coffee during its full potency. i took modafinil for cronic fatigue and general drousiness. i found it to be moderatly effective. 

in the morning after i would take a dose the effects were noticeble and even pronounced, however after about lunchtime it totally wore off and i would have to take another dose, but if the second pill is taken later in the day it sometimes would interfere with sleep so one must be carful to take the pill at the right time."
1,sleeping - hours without hangover memory loss it is a godsend. fully rested in the am and feel like a new person. i am convinced it has kept me from sliding into a full depression. it works on  levels for me: . my body gets rest so i can 'fight' for another day. . my brain heals. . i can endure a difficult day knowing i can take the pill and go to sleep. i consider it a miracle cure for preventing a full blown depression. wish i had it available to me years ago...could have changed my life. i would recommend to anyone in for a good experience while getting to sleep!
1,"i have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  i no longer feel like i am looking out of a dark room.  i have more energy, feel more motivated, and overall function at a higher level than before. a little bit of ""hyper"" feelings.  i take the entire dose at one time, daily, and have been advised that the feeling of being revved up would disspiate if i did take it in two or more doses during the day.  i try to minimize the effect by taking the medication first thing in the morning. i suffer chronic depression and the wellbutrin is the first antidepressant that did not sedate me, and the only that did not dampen sexual feelings.  i have taken tricyclics (sp?) which were extremely sedating as well as limiting as far as otc medications and dietary restrictions.  i have also tried ssris (prozac, zoloft, etc.)and while they temporarily relieved my depression, ) the effect did not last more than  months, and ) they completely destroyed my libido."
1,"ostensibly this will halt or even reverse the effects of male-pattern baldness. so far, one month in, there is not a great deal to report. i expected my hair loss to temporarily increase, as i had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. in other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. so far, this has not occurred. the product must be taken for up to two years for any noticeable hair growth to take place, so i really haven't been on it long enough to judge its re-growth potential. in terms of halting the process, however, i must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. i will post a fuller report in another forty-seven months, i suppose. i was surprised to experience brief blinding headaches in the upper left rear quadrant of my head, like a mini seconds-long burst of pressure that felt like a blunt object suddenly trying to explode out of my skull. this pressure would subside and i would go about my day. i'm told headaches are not one of the usual side-effects, so it may be an unrelated fluke. however, i've never had such an experience before, and it only manifested within about forty-eight hours of my first taking the drug and for seventy-two hours thereafter. the sudden and sporadic bursts of acute pain subsided, however, but i would caution anyone taking this drug for the first time to be on the lookout, especially if driving or in a public place with bright lights and a lot of noise around. overall, whether i am having some sort of placebo-effect reaction or not, my subjective impression is that hair loss has slowed or stopped and that the hair remaining appears fuller. i presented my symptoms to the doctor and she issued a prescription that same day, which i filled that afternoon at a local pharmacy and began taking immediately. the formulation i was prescribed was  milligram, although i believe the usual prescription is for  milligrams and can go as high as  milligrams. my case was mild to begin with, so it may be difficult to judge results. however, other than the mild side-effects i described above, which subsided within three days, i must say overall that my experience has been a positive one."
0,"i have a-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  i also do have headacheds that seem to come from ears and the back of my neck.  it help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  it helped me to ignore my symptoms and helped me to get through the day. ringing in the ears, sensitivity to noise, phantom noise in head, which all lead to anxiety stopped medicine, looking for something else to help."
1,"migraine headache would stop dizzy, palpitations i have taken both the shots and the pills (separately) and they both worked well.  i would need to take the pills before getting sick to stomach, because if after, i could not keep pills down.  the shot worked regardless of when i took it."
1,"assists with getting to sleep and due to longer half life than other anxiolytics(ie alprazolam)anxiety is less upon waking. whilst alprazolam is extrememly effective for immediate reduction in arousal, i find lorazepam more effective for overall lowering of anxiety.it has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication. as with all benzodiazepines withdrawl is very noticeable if undertaken quickly. lightheadedness, anxiety, dizzy spells, general feeling unwell.
in my experience the suggested half life in relation to reducing intake of these drugs is very misleading. reduction for me has to be done very slowly over a number of weeks not days as usually suggested by physicians. taken for anxiety,initially in an acute stage. this was followed by a decision by patient (myself) to continue for  months in order to reduce arousal levels whilst undertaking therapy using the theraputic model act."
1,"i had   persistent periodontal problems, both stressful and painful.  every dentist i saw  told me i was going to lose my teeth.  this drug  cleared up the condition.  it protected me against inflammation for the entire period of time that i took it.  i continued taking the drug much longer than is usually recommended because it was so effective. the effectiveness did not seem to diminish. none. a dentist in my dental hmo prescribed it and was willing to continue to do so because i implored him to do so."
1,"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  the cost is lower than other antidepressants which can be a help to those on a budget. sleepy and lack of response to problems.  took too long to get started.  i think anyone else would think it wasn't effective and stop taking it. took a seemingly long period of time to become effective.  once started, however, it did what i expected.  it is hard to be without now and think that it will be a problem stopping in the future."
0,"to stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes alittle weight loss but i was thin already the worst thing was hair loss for me and the feeling of pins and needles in the feet got worse, the dr increased my dose from mgs t  mgs af ter four years because i had a few seizures ,and after only two to three weeks i had so many side affects ,i had not had in all of the four years that i had been taken the  mgs my hair came out,blurry vision,dehydration forgetfulness,you name it i had not delt with this before only read about this except for the hair and i have always had lots of it so you know how upset i was.. needless to say istopped taking the extra mgs and went back to my old dosage with hopes tha everything will goe back to where it was ,trying to get in touch with the dr. as i type now... does anyone know if the side affects will goe away? take two  mgs tablets in am when i was given the increase i was told to take two  mgs tablets in the am and  in the evening before bed"
1,the stuff works like a charm--fast and effective. none one pill  mins. before activity
1,"the drug was pretty good for pain. they had me on morphine, which was horrible. the pain was preferable to the crazy dreams and paranoia i had. they then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects. sleepiness, dizziness, light-headedness & nausea. i only took them when the pain was unbearable, so i might have gotten used to the side effects if i had kept the levels up in my system. i just took the pills every - hours when the kidney pain was too bad. i tried to only take them at night as the conditions improved since they made me sleep. i stopped takeing them long before the infections and colon problems were resolved, as i don't like takeing drugs."
1,"effective at controlling seizures without dizziness there were no side effects i took dilantin for decades.  my doctor moved me to trileptal; it was not % effective and caused dizziness, plus it was very expensive.  lamictal controls my seizures, although i still get headaches (auras).  i would like to be completely free of these headaches, but this is still better than previous medications."
1,"able to tolerate the pain loss of appetite, dizzy following a nasal reconstruction and bone graft to 
my nasal bridge pain relief was prescribed.  my nose 
was crushed in an accident.
i did not think that it would be necessary, however
the procedure turned out to be extremely painful for
several days. the pain medication allowed me to tolerate the pain, however it made it impossible for me to function normally. all i could do was sleep and remain in a haze until the pain diminished"
1,very effective pain killer constipation take the pills for pain
1,"eventually cleared my moderate acne. had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after  months hair loss! not so much from my head, but other places such as arms etc. dry lips were the worst, tried many different products but eventually carmex solved that. dry skin slightly, not too much of a probelem. depression was bad, would have no motivation to do anything and hated everything around me. after stopping the drug this discontinued and i deem it acceptable to have, for the results of clear skin. i can't remember ever having the initial flare ups/breakouts other people have reported. i was warned about this by my dermatologist but i can't say i remember it. i noticed no difference in the first few months and became very frustrated at this. it was only towards the end of the fourth month that it started to become noticablly clearer with only a few spots. by the end of the fifth month i was clear, and remained clear for a year. however the oilyness of my skin has returned and i would now class my skin as having mild acne, but it only affects the areas around my nose, unlike before where i had it all over my cheeks. if you notice any spots return, contact your derm to be put on a second course of accutane as i am, otherwise it can return more serverly and undo all the progress you have previously made."
1,"brought down my overall cholestorol reading from  to , ldl from  to  and triglycerides from  to  within  months time. i had soreness of muscles for the first several weeks which finally went away. i started on the medication yrs ago and still take it today with continued good results and no side effects."
1,"the cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended. i had no side effects.  some people think the ulcerated scabby areas are side effects, but this is what the cream is designed to do, make bad cells react and destruct. the cream is applied at bedtime for five nights a week for basal cell carcinoma.  three night per week for actinic keratosis.  you do this for eight weeks in a row.  by the end of eight weeks, the bad cells react gradually as scabby spots.  this is how you know the medicine is working.  you put the cream on the spots your doctor tells you to, with about an inch margin all around it."
1,"no undesired pregnancies, lighter period none one pill daily."
0,"i took minocycline hoping that it would clear up my acne. i have been taking tetracycline for over  years without no result, frustrated, my doctor prescribed minocyline. after  year, i was still having break out just not as bad. the treatment had no side effect on me. i don't have severe acne problem, just occasional break out.  i was prescribed minocycline by my doctor and was advised to take it once a day for treatment of my acne.  i was told that it would take up to six month to see result.  after more than a year being on it, it did very little for me.  i was still breaking out, it just that some of my break out was not as bad.  bottom line, i was not satisfied because it did not help clear up my acne altogether."
1,"no menopose benifits are loss off sytoms of menopose. improved mood leval. i have felt more energectic aand as stated a general mood elevation. i have started working out , less irratable and overall calmer. the hormone replacement has improved my lifestyle and relationships to others. i am know longer quick tempered or irritable. i have had some tirdeness and general sleep problems. i dont know if this was due to estrace or not. i have been someonewhat confused about hoe my energy has increased but my tirdness usually is in the morning when i take estrace. perhaps i should try evening. i started  years ago due to hystromectery i hve a mood disorder and it was felt that menopose would complicate that. since then i have thought it was the right decision and have been grateful foe the doctors suggestion."
1,"lost over  pounds and still going! the first week i had a very dry mouth all the time. so i started taking mg meridia once daily and lost  pounds in the first month. i was so excited, i never expected this pill to work at all.
but then the following week i gained  pounds, so i stopped taking it. its been  months now since i have taken one and i've lost an additional  pounds since i have stopped. 
i notice that i will usually gain a pound or two and the following week loose  or . sometimes i'll have  weeks of no weight lose followed by a week of pretty dramatic weight lose.
i would never have been able to lose the weight without using meridia to start off. i don't know if my stomach has shrunk or if i just have a better idea of how much to eat and what to do to lose weight, regardless i'm thrilled and couldn't be happier with the results!"
1,"acne cleared totally,skin became even. keloid scars on the back which appeared about  months after the end of treatment,without any preceeding trauma to the region.
dryness of skin and mucous membranes that was not very severe.dizziness and tiredness sometimes. conglobate acne treatment with roaccutane mg/kg, lasting  months.the patient took  mg daily."
1,after  days of taking the medication my stomach pain subsided.  the burning i also began to go away.  it took a full week for everything to return to normal for mw. while i have been taking the medicaion i have not experience any side effects.  the only thing that bothered me was that it took about  dayss to see improvement which was not a long time but when you are uncomfortable it seems much longer. went to doctor because of burning and pain in my stomach.  as long as i was consantly full my stomach was better but the second it became empty i was back to being uncomfortable.  i want to get rid of these symptoms before i became over weight so i went to my doctor and he started me on  mg for  week and then i was changed to  mg once a day and after a couple of days i felt much better. and have every since.
1,the pressure in my eyes decreased with use over a period of four months. there is a mild burning in my eyes for a couple of minutes after the drops are out in. the drops are administered twice a day approximately  hours apart. it is usually necessary to keep eyes closed for a minute or two until the burning subsides.
0,"skin in certain areas (e.g. forehead, cheeks) sun damage became less noticeable. fine lines have slightly improved. however fine lines on the lower eyelids have become worse. it was therefore, not used on fine lines on the lower eyelids the entire  year. i have used it approximately  months out of the  year in this area. it made it crease up and look wrinkled dry skin. flaky skin. breakouts during the first - weeks.
irritation to my lips even though i do not apply it here. my lips feel sore by the next morning. under eyes creasing up renova applied once at nightime approx  minutes after cleansing. if skin was particularly dry a light moisturiser would be applied approximately  minutes after the renova was applied"
0,"the med. controlled my seizure disorder. the side effects were terrible. i endured daily moderate to severe headaches which i had to treat with high dosage of ibuprofen and a  lb. weight gain over two months on a '"" frame with no change in my diet. i could not shake the weight until i discontinued taking the med. treatment was to take the med. daily. it controlled the seizure disorder but the side effects were too much for me. i talked to the physician after two years and said it's gotta go. he then prescribed lamictal and i lost  lbs. in one month--simply by stopping the depakote."
1,"very well managed blood pressure within normal, healthy range.  i had an allergic reaction to a more common blood pressure medication, lisinopril (which is a combination of a thiazide diuretic and an ace inhibitor).  the newer tekturna has worked perfectly for me with only the slightest dizziness when i rose too quickly early on, but no side effects at all after the first few weeks. i had a very slight issue, early on in treatment (in the first few weeks only), of slight dizziness when rising quickly from either laying down or from bending over with my head down (such as when petting my cat when she was laying on the floor), but that fully resolved quite quickly. i have not had any other side effects at all. i take one mg tekturna per day, in the morning, along with mg of terazosin (hytrin) and my blood pressure is wonderfully under control. my last blood pressure reading was / which is perfect!"
1,"smoother skin,less lines on the face and neck area,collagen in skin is firmer and supple mild flaking, skin can become red and senatize must wear  block suncreen wash face,wait  minutes then applied a pea size to dry skin always wear a good suncreen about thirthy percent.  make sure to apply every two hours"
0,the drug reduced the frequency of acid reflux events and the associated pain after a few days i experienced severe muscle ache in legs such that i had difficulty climbing stairs. i also had overwhelming fatigue and even indigestion this drug was fairly effective after one week's use week but did not cure the reflux completely and the side effects were very debilitating. i experienced a rebound effect after stopping which lasted for approximately four weeks. after having an endoscopy i was diagnosed with gastritis.
1,"lowered blood pressure.  this was the last prescribed medication for out of control high blood pressure.  apparently, it takes all three of the medications
to work together. with all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise none, or at least not enough to be bothersome this was the last prescribed medication for out of control high blood pressure. i was first diagnosed with  hypertension when i was in my 's (with no symptoms  - routine check-up) gradually through the years, it has taken more meds.  apparently, it takes all three of these medications to work together. with all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise"
1,"after  days on crestor,  mg. per day, in combination with changes to my diet, my ldl (bad) cholesterol fell from  mg/dl (high risk) to  mg/dl (optimal), a drop of nearly half.  my triglyceride levels were reduced as well. one side effect my doctor warned me to watch for was loss of muscle density.  i work out with weights usually three times a week.  i noticed no loss of muscle size, tone, or strength while taking crestor. because my ldl cholesterol was in the ""high risk"" range by american heart assn. standards, it was important to lower my risk level quickly.  in addition to taking  mg. of crestor daily, i made disciplined adjustments to my diet.  i cut out animal fats, including dairy fats (like cheese and ice cream).  i cut out trans fats (like partially hydrogenated oils).  i greatly increased my consumption of wheat bran and oat bran, and raw vegetables.  i also took  mg. of time-release niacin with my lunch each day.  once i got my ldl cholesterol down to below  mg/dl, my doctor revised my prescription to only . mg. crestor per day.  since crestor is not sold in this dosage, i must cut the pills in half.  i was tested again after  days at this dosage, and my ldl was still below  mg/dl.  and that was with a more relaxed diet."
1,"at the recommendation of the life extension foundation, i was taking  mg per day of metformin prophilatically -- as an anti-aging medicine. gene assay testing by biomol resveals that metformin surpresses the sir gene, acting as a calorie reduction memetic. calorie reduction is the only currently proven way to extend life span, and the hope is that metformin will mimic this. resveratro ( herb ) also reputably does this. none metformin reduced my fasting blood glucose by about  pints, and my ac by %."
0,"it made me feel like my old self again, i was able to go to work and actually get things done and the medication took care of the edgy feeling i had and alot of my tendency to fly off the handle.  the medicine seemed to work great except for a few side effects. the side effects made me yawn alot and very sleep, would take a  to  hour nap daily.  my joints in my jaws were very stiff and made it almost painful for me to talk and especially where i yawned alot.  i expierenced this side effect one day after taking the medication. take  mg daily and therapy."
